',CSXLEAOD,""":'","Forced Choice Odor Selection, Leather Scent",,"',","'CSXLEAOD"":'Forced Choice Odor Selection, Leather Scent',"
',CSXSOAOD,""":'","Forced Choice Odor Selection, Soap Scent",,"',","'CSXSOAOD"":'Forced Choice Odor Selection, Soap Scent',"
',CSXGRAOD,""":'","Forced Choice Odor Selection, Grape Scent",,"',","'CSXGRAOD"":'Forced Choice Odor Selection, Grape Scent',"
',CSXONOD,""":'","Forced Choice Odor Selection, Onion Scent",,"',","'CSXONOD"":'Forced Choice Odor Selection, Onion Scent',"
',CSXNGSOD,""":'","Forced Choice Odor Selection, Natural Gas Scent",,"',","'CSXNGSOD"":'Forced Choice Odor Selection, Natural Gas Scent',"
',CSXSLTRT,""":'",gLMS rating for salty taste when replicate 1M NaCl is sampled with the whole mouth.,,"',","'CSXSLTRT"":'gLMS rating for salty taste when replicate 1M NaCl is sampled with the whole mouth.',"
',CSXSLTRG,""":'",Name of substance examinee tasted when replicate 1M NaCl was sampled with the whole mouth.,,"',","'CSXSLTRG"":'Name of substance examinee tasted when replicate 1M NaCl was sampled with the whole mouth.',"
',CSXNART,""":'",gLMS rating for salty taste when replicate .32 M NaCl is sampled with the whole mouth.,,"',","'CSXNART"":'gLMS rating for salty taste when replicate .32 M NaCl is sampled with the whole mouth.',"
',CSXNARG,""":'",Name of substance examinee tasted when replicate .32 M NaCl was sampled with the whole mouth.,,"',","'CSXNARG"":'Name of substance examinee tasted when replicate .32 M NaCl was sampled with the whole mouth.',"
',CSAEFFRT,""":'",MEC Technician's overall rating for participant's understanding of and cooperation with exam procedures.,,"',","'CSAEFFRT"":'MEC Technician's overall rating for participant's understanding of and cooperation with exam procedures.',"
',RIDSTATR,""":'",Interview and examination status of the participant.,,"',","'RIDSTATR"":'Interview and examination status of the participant.',"
',RIAGENDR,""":'",Gender of the participant.,,"',","'RIAGENDR"":'Gender of the participant.',"
',RIDAGEYR,""":'",Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,,"',","'RIDAGEYR"":'Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.',"
',RIDAGEMN,""":'",Age in months of the participant at the time of screening. Individuals aged 959 months and older are topcoded at 959 months.,,"',","'RIDAGEMN"":'Age in months of the participant at the time of screening. Individuals aged 959 months and older are topcoded at 959 months.',"
',RIDAGEEX,""":'",Age in years of the participant at the time of examination. Individuals aged 959 months and older are topcoded at 959 months.,,"',","'RIDAGEEX"":'Age in years of the participant at the time of examination. Individuals aged 959 months and older are topcoded at 959 months.',"
',RIDRETH1,""":'",Recode of reported race and Hispanic origin information,,"',","'RIDRETH1"":'Recode of reported race and Hispanic origin information',"
',DMDBORN,""":'",In what country {were you/was SP} born?,,"',","'DMDBORN"":'In what country {were you/was SP} born?',"
',DMDCITZN,""":'",{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],,"',","'DMDCITZN"":'{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.]',"
',DMDYRSUS,""":'",Length of time the participant has been in the US.,,"',","'DMDYRSUS"":'Length of time the participant has been in the US.',"
',DMDEDUC3,""":'",What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,,"',","'DMDEDUC3"":'What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?',"
',DMDMARTL,""":'",Marital status,,"',","'DMDMARTL"":'Marital status',"
',RIDEXPRG,""":'",Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,,"',","'RIDEXPRG"":'Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.',"
',INDHHIN2,""":'",Total household income (reported as a range value in dollars),,"',","'INDHHIN2"":'Total household income (reported as a range value in dollars)',"
',INDFMIN2,""":'",Total family income (reported as a range value in dollars),,"',","'INDFMIN2"":'Total family income (reported as a range value in dollars)',"
',INDFMPIR,""":'",A ratio of family income to poverty guidelines.,,"',","'INDFMPIR"":'A ratio of family income to poverty guidelines.',"
',DMDHHSIZ,""":'",Total number of people in the Household,,"',","'DMDHHSIZ"":'Total number of people in the Household',"
',DMDFMSIZ,""":'",Total number of people in the Family,,"',","'DMDFMSIZ"":'Total number of people in the Family',"
',WTCAI8YR,""":'",Full sample 8-year interview weight for participants in California.,,"',","'WTCAI8YR"":'Full sample 8-year interview weight for participants in California.',"
,WTCI8R01,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for participants in California.,x,,
,WTCI8R02,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for participants in California.,x,,
,WTCI8R03,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for participants in California.,x,,
,WTCI8R04,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for participants in California.,x,,
,WTCI8R05,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for participants in California.,x,,
,WTCI8R06,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for participants in California.,x,,
,WTCI8R07,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for participants in California.,x,,
,WTCI8R08,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for participants in California.,x,,
,WTCI8R09,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for participants in California.,x,,
,WTCI8R10,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for participants in California.,x,,
,WTCI8R11,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for participants in California.,x,,
,WTCI8R12,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for participants in California.,x,,
,WTCI8R13,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for participants in California.,x,,
,WTCI8R14,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for participants in California.,x,,
,WTCI8R15,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for participants in California.,x,,
,WTCI8R16,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for participants in California.,x,,
,WTCI8R17,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for participants in California.,x,,
,WTCI8R18,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 18 for participants in California.,x,,
,WTCI8R19,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 19 for participants in California.,x,,
,WTCI8R20,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 20 for participants in California.,x,,
,WTCI8R21,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 21 for participants in California.,x,,
,WTCI8R22,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 22 for participants in California.,x,,
,WTCI8R23,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 23 for participants in California.,x,,
,WTCI8R24,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 24 for participants in California.,x,,
,WTCI8R25,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 25 for participants in California.,x,,
,WTCI8R26,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 26 for participants in California.,x,,
,WTCI8R27,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 27 for participants in California.,x,,
,WTCI8R28,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 28 for participants in California.,x,,
,WTCI8R29,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 29 for participants in California.,x,,
,WTCI8R30,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 30 for participants in California.,x,,
,WTCI8R31,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 31 for participants in California.,x,,
,WTCI8R32,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 32 for participants in California.,x,,
,WTCI8R33,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 33 for participants in California.,x,,
,WTCI8R34,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 34 for participants in California.,x,,
,WTCI8R35,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 35 for participants in California.,x,,
,WTCI8R36,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 36 for participants in California.,x,,
,WTCI8R37,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 37 for participants in California.,x,,
,WTCI8R38,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 38 for participants in California.,x,,
,WTCI8R39,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 39 for participants in California.,x,,
,WTCI8R40,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 40 for participants in California.,x,,
,WTCI8R41,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 41 for participants in California.,x,,
,WTCI8R42,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 42 for participants in California.,x,,
,WTCI8R43,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 43 for participants in California.,x,,
,WTCI8R44,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 44 for participants in California.,x,,
,WTCI8R45,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 45 for participants in California.,x,,
,WTCI8R46,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 46 for participants in California.,x,,
,WTCI8R47,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 47 for participants in California.,x,,
,WTCI8R48,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 48 for participants in California.,x,,
,WTCI8R49,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 49 for participants in California.,x,,
,WTCI8R50,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 50 for participants in California.,x,,
,WTCI8R51,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 51 for participants in California.,x,,
,WTCI8R52,,8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 52 for participants in California.,x,,
',CATVPSU,""":'",Variance unit: PSU variable for variance estimation,,"',","'CATVPSU"":'Variance unit: PSU variable for variance estimation',"
',CATVSTRA,""":'",Variance unit: stratum variable for variance estimation,,"',","'CATVSTRA"":'Variance unit: stratum variable for variance estimation',"
',WTCAM8YR,""":'",Full sample 8-year MEC exam weight for participants in California.,,"',","'WTCAM8YR"":'Full sample 8-year MEC exam weight for participants in California.',"
,WTCM8R01,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for participants in California.,x,,
,WTCM8R02,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for participants in California.,x,,
,WTCM8R03,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for participants in California.,x,,
,WTCM8R04,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for participants in California.,x,,
,WTCM8R05,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for participants in California.,x,,
,WTCM8R06,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for participants in California.,x,,
,WTCM8R07,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for participants in California.,x,,
,WTCM8R08,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for participants in California.,x,,
,WTCM8R09,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for participants in California.,x,,
,WTCM8R10,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for participants in California.,x,,
,WTCM8R11,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for participants in California.,x,,
,WTCM8R12,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for participants in California.,x,,
,WTCM8R13,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for participants in California.,x,,
,WTCM8R14,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for participants in California.,x,,
,WTCM8R15,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for participants in California.,x,,
,WTCM8R16,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for participants in California.,x,,
,WTCM8R17,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for participants in California.,x,,
,WTCM8R18,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 18 for participants in California.,x,,
,WTCM8R19,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 19 for participants in California.,x,,
,WTCM8R20,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 20 for participants in California.,x,,
,WTCM8R21,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 21 for participants in California.,x,,
,WTCM8R22,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 22 for participants in California.,x,,
,WTCM8R23,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 23 for participants in California.,x,,
,WTCM8R24,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 24 for participants in California.,x,,
,WTCM8R25,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 25 for participants in California.,x,,
,WTCM8R26,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 26 for participants in California.,x,,
,WTCM8R27,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 27 for participants in California.,x,,
,WTCM8R28,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 28 for participants in California.,x,,
,WTCM8R29,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 29 for participants in California.,x,,
,WTCM8R30,,8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 30 for participants in California.,x,,
